GLOSS ID	LIST ID	ENGLISH	PSU	SHM	CHP	YAS	ISH
Backstrom-1992-210d-1	Wakhi-1	body	ʊstxɔn	ʊstxɔn	ʊstxɔn	ɪstxɔn	ʊstxɔn
Backstrom-1992-210d-2	Wakhi-2	head	sʌr	sʌr	sʌr	sʌr	sʌr
Backstrom-1992-210d-3	Wakhi-3	hair	ṣ̌ɑfṣ̌	ṣ̌ɑfs	ṣ̌ʌfṣ̌	ṣ̌ʌfṣ̌	ṣ̌ʌfṣ̌
Backstrom-1992-210d-4	Wakhi-4	face	rui	rui	rui	rui	rui
Backstrom-1992-210d-5	Wakhi-5	one eye	čɛžm	čɛžm	čɛžm	čɛẓ̌m	čɛžm
Backstrom-1992-210d-6	Wakhi-6	one ear	ɣ̯iṣ̌	ɣ̯iṣ̌	ɣ̯iṣ̌	ɣ̯iṣ̌	ɣ̯ɪṣ̌
Backstrom-1992-210d-7	Wakhi-7	nose	mis	mis	mis	mis	mis
Backstrom-1992-210d-8	Wakhi-8	mouth	ɣʌṣ̌	ɣʌṣ̌	ɣʌṣ̌	ɣʌṣ̌	ɣʌṣ̌
Backstrom-1992-210d-9	Wakhi-9	one tooth	dɨndɨk	dɨndɨk	dʉndʉk	dɨndɨk	dɨndɨk
Backstrom-1992-210d-10	Wakhi-10	tongue	zɪkʰ	zikʰ	zikʰ	zɪkʰ	zik
Backstrom-1992-210d-11	Wakhi-11	breast			puz	pʌz	pɪžbʌr
Backstrom-1992-210d-12	Wakhi-12	belly	dʊˑr	dʊˑr	dʊˑr	duˑr	dʊˑr
Backstrom-1992-210d-13	Wakhi-13	arm	yʊrm	yʊrm	yʊrm	yʊrm	yʊrm
Backstrom-1992-210d-14	Wakhi-14	elbow	bɛˈrɛt	bɛˈrɛt	bɛˈrɛt	bɛˈrɛt	bɛˈrɛt
Backstrom-1992-210d-15	Wakhi-15	palm of hand	pʰʊn	pʰʊn	pʰun		pʰʊn
Backstrom-1992-210d-16	Wakhi-16	finger	yɑŋgl	yʌŋgl	yɑŋgl	yɑŋgl	yʌŋgl
Backstrom-1992-210d-17	Wakhi-17	fingernail	regæθ	pɔx	riɣæθ	diger	digʌr
Backstrom-1992-210d-18	Wakhi-18	leg	leŋg	leŋg	leŋg	lɑŋg	leŋg
Backstrom-1992-210d-19	Wakhi-19	skin	pist	pist	pist	pɪst	pist
Backstrom-1992-210d-20	Wakhi-20	bone	yæšč	yʌšč	yʌšč	yʌšč	yæʰšč
Backstrom-1992-210d-21	Wakhi-21	heart	pɪˈzɨv	pɨˈzɨv	pʉˈzʉv	pɪˈzɨv	pɪˈzɪv
Backstrom-1992-210d-22	Wakhi-22	blood	wʊx̯ɛn	wʊx̯en	wʊx̯en	wʊx̯ɛn	wʊx̯ɛn
Backstrom-1992-210d-23	Wakhi-23	urine	mizg	mizg	mizg	mizg	mizg
Backstrom-1992-210d-24	Wakhi-24	feces	rɛx	rɛx	rɛx	rɛx	rɛx
Backstrom-1992-210d-25	Wakhi-25	village	dior	mʉɬk	dior	dior	dior
Backstrom-1992-210d-26	Wakhi-26	house	xon	xon	xʊn	xʊn	xʊn
Backstrom-1992-210d-27	Wakhi-27	roof	kʊtʰ	kʊt	kʰut	kutʰ	kʊt
Backstrom-1992-210d-28	Wakhi-28	door	bɑr	bɑr	bɑr	bɑr	bɑr
Backstrom-1992-210d-29	Wakhi-29	firewood	ɣoz	ɣoz	ɣuz	ɣoz	ɣoz
Backstrom-1992-210d-30	Wakhi-30	broom	drɛpč	drɛpč	drɛpč	drɛpč	drɛpč
Backstrom-1992-210d-31	Wakhi-31	butter churn	soˈɣo	soˈgo	soˈgo	soˈɣo	soˈgo
Backstrom-1992-210d-32	Wakhi-32	agitator / pestle	pʌˈdɑr	pʌˈdɑr	pʌˈdɑr	pʌˈdɑr	pʌˈdɑr
Backstrom-1992-210d-33	Wakhi-33	hammer	sʊnˈdon	sʊnˈdon	dʌpok / hʌtʰɔrɑ	bʌloˈkɑ	bʌloˈkɑ
Backstrom-1992-210d-34	Wakhi-34	knife	kʰɛẓ̌	kʰɛž	kʰɛẓ̌	kʰɛẓ̌	kʰɛẓ̌
Backstrom-1992-210d-35	Wakhi-35	axe	tʌˈpɑr	tʌˈpɑr	tʌˈpɑr	tʌˈpɑr	tʌˈpɑr
Backstrom-1992-210d-36	Wakhi-36	rope	šiˈvɛn	šiˈven	šiˈven	šiˈvɛn	šɪˈven
Backstrom-1992-210d-37	Wakhi-37	thread	wʉsɛi	wʉsɛi	wʉsɛi / ẓ̌ʉtʌr	žitʌr	wʉsɛi / žitʌr
Backstrom-1992-210d-38	Wakhi-38	needle	sɪt͡s	sit͡s	sit͡s	sɪt͡s	sɪt͡s
Backstrom-1992-210d-39	Wakhi-39	cloth	lɑkpɑr	lʊkpɑr	lʊkpɑr	lʊkpʌr	
Backstrom-1992-210d-40	Wakhi-40	ring	bʊˈrʊndo	bʊˈrondo	bʊˈrondo	pɪliŋgɪst	pɪliŋgʌst
Backstrom-1992-210d-41	Wakhi-41	sun	yiˑr	yiˑr	yiˑr	yiˑr	yiˑr
Backstrom-1992-210d-42	Wakhi-42	moon	ẓ̌umʌk	ẓ̌umʌk	ẓ̌umʌk	zʉmʌk	zɨmʌk
Backstrom-1992-210d-43	Wakhi-43	sky	ɑsˈmɔn	ɑsˈmɑn	ɑsˈmɑn	ɑsˈmɑn	ɑsˈmɑn
Backstrom-1992-210d-44	Wakhi-44	one star	ʊsˈtɔr	ʊsˈtɑr	sˑtɑr	sɨˈtor	sɪtoˈrɑ
Backstrom-1992-210d-45	Wakhi-45	rain	moˑr	moˑr	mʊˑr	bʊˈron	wɨr
Backstrom-1992-210d-46	Wakhi-46	water	yupʰkʰ	yupʰkʰ	yupʰkʰ	yupkʰ	yupʰkʰ
Backstrom-1992-210d-47	Wakhi-47	river	dʌryɔ	dʌryɑ	dʌryɔ	dʌryɑ	dʌryɔ
Backstrom-1992-210d-48	Wakhi-48	cloud	witiš	wʊtiš	wʊtiš	mor	mor
Backstrom-1992-210d-49	Wakhi-49	lightning	hɑl	hɑl	hɑl	hɪl	bʌlx
Backstrom-1992-210d-50	Wakhi-50	rainbow	nɛˈreo	nʌˈreo	nʉˈreo	nɛˈrewo	nʌˈreo
Backstrom-1992-210d-51	Wakhi-51	wind	dʊˈmɑ	dʊˈmɑ	dʌˈmɑ	duˈmɑ	duˈmɑ
Backstrom-1992-210d-52	Wakhi-52	stone	ɣɑr	ɣɑr	ɣɑr	ɣɑr	ɣɑr
Backstrom-1992-210d-53	Wakhi-53	path	vʌˈdekʰ	vʌˈdekʰ	vʌˈdekʰ	vʌˈdɛkʰ	wʉˈdʌk
Backstrom-1992-210d-54	Wakhi-54	sand	liˈwʌr̥č	lʌˈwʌrč	lʌˈwʌrč	lɪˈwʌrč	lɪˈwʌrč
Backstrom-1992-210d-55	Wakhi-55	fire	rʌxˈniɣ	rʌxˈniɣ	rʌxˈniɣ	rʌxˈnig	rʌxˈnig
Backstrom-1992-210d-56	Wakhi-56	smoke	ðit	ðit	ðit	dɪt	ðɪt
Backstrom-1992-210d-57	Wakhi-57	ash	pɑrk	pɑrk	pɑrk	pɑrk	pɑrk
Backstrom-1992-210d-58	Wakhi-58	mud	rɛpˈkrɑg	rɛpʰkʰ	šɪnʌp	rʌpkʰ	čʌl
Backstrom-1992-210d-59	Wakhi-59	dust	šɛt	šɪt	šɪt	šɪt	šɪt
Backstrom-1992-210d-60	Wakhi-60	gold	tilo	tɪlo	tilɔ	tilo	tilo
Backstrom-1992-210d-61	Wakhi-61	tree	kiˈčɪt	kɪčɪt	kɪčɪt / dʌrʌxt	tʰɪk	dʌrʌxt
Backstrom-1992-210d-62	Wakhi-62	leaf	pʌl̥č	pʌlč	pʌl̥č	pʌlč	pʌl̥č
Backstrom-1992-210d-63	Wakhi-63	root	wiʊx̯	wiʊx̯	wiʊx̯	bɪx	bɪx
Backstrom-1992-210d-64	Wakhi-64	thorn	zʌx	zʌx	zʌx	zʌx	zʌx
Backstrom-1992-210d-65	Wakhi-65	flower	sɪˈpreɣ	sˑpreɣ	sˑpreɣ	sɪˈpreɣ	sɪˈprɛɣ
Backstrom-1992-210d-66	Wakhi-66	fruit	meˈwɑ	meˈwɑ	miˈwɑ	meˈwɑ	meˈwɑ
Backstrom-1992-210d-69	Wakhi-67	wheat	ɣɪˈdim	ɣɪˈdim	ɣɪˈdim	ɣɪˈdim	gɪˈdim
Backstrom-1992-210d-71	Wakhi-68	rice	gʌrɛnč	gʌrenč	gʌrenč	bʌrɛnč	bʌrɛnč
Backstrom-1992-210d-72	Wakhi-69	potato	ɔˈlu	ɑˈlu	ɔˈlu	ɑˈlu	ɑˈlu
Backstrom-1992-210d-75	Wakhi-70	chili	ˈmɑrɪnǰ	ˈmɑrɪnǰ	ˈmɑrɪnǰ	mɪrč	mʌrč
Backstrom-1992-210d-76	Wakhi-71	turmeric	mʊsɔlɑ / zɨrčuvɑ	mʊsɑlɑ	zɨrčuvɑ	zʌrt mʌsɑlɑ	zɨrčuvɑ / gogʌrd
Backstrom-1992-210d-77	Wakhi-72	garlic	poxˈpɑ	poxˈpɑ	boxˈpɑ	poxˈpɑ	iŋk
Backstrom-1992-210d-78	Wakhi-73	onion	pʸukʰ	pʸuk	pʸuk	piˈɑz	piˈʌz
Backstrom-1992-210d-79	Wakhi-74	cauliflower	sprɛɣɛn gubi	gubi	spreɣ gobi	sɪprɛɣɛn gobi	spreɣ gobi
Backstrom-1992-210d-80	Wakhi-75	tomato	bɑlogʌn	bɑlogʌn	ṭʌˈmɑṭʌr	bɑlugʊn	bɑlugʊn
Backstrom-1992-210d-81	Wakhi-76	cabbage		bʌnd gobi	bʌnd gobi	bʌnd gobi	bʌnd gobi
Backstrom-1992-210d-82	Wakhi-77	oil (for cooking)	tel	tel	tel	tel	tel
Backstrom-1992-210d-83	Wakhi-78	salt	nɛˈmɪk	nɛˈmɛk	nʌˈmʌk	nɪˈmɪk	nʌˈmʌk
Backstrom-1992-210d-84	Wakhi-79	meat (for eating)	gʊšt	gʊšt	gʊšt	gʊšt	gošt
Backstrom-1992-210d-85	Wakhi-80	fat (part of meat)	yip	yip	yip	hip	yip
Backstrom-1992-210d-86	Wakhi-81	fish	kʰup	kup	kʰup	moˈyi	moˈyi
Backstrom-1992-210d-87	Wakhi-82	chicken (hen)	kʰɛrk	kʰɛrk	kʰɛrk	kʰɪrk	kʰɪrk
Backstrom-1992-210d-88	Wakhi-83	one egg	tʌxmʉrɣ	tʌxmʉrɣ	tʌxmʉrɣ	tʌxmʉrɣ	tʌxmʉrɣ
Backstrom-1992-210d-89	Wakhi-84	cow	ɣ̯iu / čʌṭ ɣ̯iu	čʌṭ ɣ̯ɪu	čʌṭ ɣ̯ɪu	ɣɪu	ɣɪu
Backstrom-1992-210d-90	Wakhi-85	buffalo	išmɑyʊš	išmɑis	gomɪš	mɑiš	gomɪš
Backstrom-1992-210d-91	Wakhi-86	milk	žʌrž	žʌrž	žʌrž	žɑrž	žɑrž
Backstrom-1992-210d-92	Wakhi-87	horn	ṣ̌ɛo	ṣ̌eo	ṣ̌eo	ṣ̌eo	ṣ̌eo
Backstrom-1992-210d-93	Wakhi-88	tail	mɪčkʌm	kɪčkʌm	kɪčkʌm / bɪčkʌm	bɪčkɑm	bɪčkɑm
Backstrom-1992-210d-94	Wakhi-89	goat	tʰuɣ	tʰuɣ	tʰuɣ	tʰuɣ	tʰuɣ
Backstrom-1992-210d-95	Wakhi-90	dog	šʌč	šʌč	šʌč	šʌč	šʌč
Backstrom-1992-210d-96	Wakhi-91	snake	fuks	fuks	fuks	fuks	fuks
Backstrom-1992-210d-97	Wakhi-92	monkey	šʌodi	šʌodi	šʌodi	šʌodi	miˈmʊn
Backstrom-1992-210d-98	Wakhi-93	mosquito	pɪˈθiu	pɪˈθiu	pɪˈθɪu	pɪˈdiu	pɪˈθiu
Backstrom-1992-210d-99	Wakhi-94	ant	mirprɪč	mirprɪč	mirprɪč	mirprɪč	mirprɪč
Backstrom-1992-210d-100	Wakhi-95	spider	ǰɛlhɔ prɪč	ǰɛlɑ prɪč	ǰɛlhɔ prɪč	ǰɪlo prɪč	ʊstod prɪč
Backstrom-1992-210d-101	Wakhi-96	name	nuŋg	nuŋg	nuŋg	nuŋk	nuŋg
Backstrom-1992-210d-102	Wakhi-97	man	ðɑi	mɪrdiˈnɑ	mʌrdiˈnɑ	mɪrdiˈnɑ / ðɑi	mʌrdiˈnɑ / ðɑi
Backstrom-1992-210d-103	Wakhi-98	woman	x̯uinɑn / ɔˈǰiz	x̯uinɑn	x̯uinɑn	x̯inɑn	x̯inɑn / ɔˈǰiz
Backstrom-1992-210d-104	Wakhi-99	child	zɑ	zɑ	zʌmɑn	zʌ	zʌ
Backstrom-1992-210d-105	Wakhi-100	father	tʌt	tʌt	tʌt	tʰʌt	tʌt
Backstrom-1992-210d-106	Wakhi-101	mother	nɑn	nʌn	nɑn	nɑn	nʌn
Backstrom-1992-210d-107	Wakhi-102	older brother	lʊp vʉrɪt	lup vʉrɪt	lup vʉrɨt	lup vʉrɪt	lup vʌrɪt
Backstrom-1992-210d-108	Wakhi-103	younger brother	zʌqlɑi vʉrɪt	lʌqlɑi vʉrɪt	zʌqlɑi vʉrɨt	t͡sɨklɑi vʉrɪt	t͡sɨqlɑi vʌrɪt
Backstrom-1992-210d-109	Wakhi-104	older sister	lʊp x̯wi	lup x̯wi	lup x̯wi	lup x̯ʉi	lup x̯ʉi
Backstrom-1992-210d-110	Wakhi-105	younger sister	zʌqlɑi x̯wi	lʌqlɑi x̯wi	zʌq x̯wi	t͡sɨklɑi x̯ʉi	t͡sɨqlɑi x̯ʉi
Backstrom-1992-210d-111	Wakhi-106	son	pɛtr̥	pɛtr̥	ˈpɛtɛr	ˈpʌtʌr	ˈpɨtr
Backstrom-1992-210d-112	Wakhi-107	daughter	ðeɣt	ðeɣt	ðeɣt	ðɛɣt	ðeɣt
Backstrom-1992-210d-113	Wakhi-108	husband	šoˈhɑr	šoˈhɑr	šoˈhɑr	šoˈhɑr	šoˈhɑr / ðɑi
Backstrom-1992-210d-114	Wakhi-109	wife	ǰɪˈmɑt	ǰʌˈmʌt	ǰʊˈmɑt	ǰɪˈmʌt / kʰænd	kɨnd
Backstrom-1992-210d-115	Wakhi-110	boy	kɑṣ̌	kɑs	kʌṣ̌	kʌṣ̌	kʌṣ̌
Backstrom-1992-210d-116	Wakhi-111	girl	pʰɨrčoð	pʊrčoθ	pɨr̥čoθ	pʰɪr̥čot	pɪrčot
Backstrom-1992-210d-117	Wakhi-112	day	rɔr	rɔr	rɔr	roˑr	ror
Backstrom-1992-210d-118	Wakhi-113	night	nʌɣt	nɑɣt	nɑɣt	nɑɣt	nʌɣt
Backstrom-1992-210d-119	Wakhi-114	morning	sʌˈhɑr	sʌˈhɑr	sʌˈhɑr	sʌˈhɑr	nʌɣdin / sʌˈhɑr
Backstrom-1992-210d-120	Wakhi-115	noon	mɛˈðer	mɛˈðeri	mʉˈðʉr	mɨˈdɨr	mɨˈðɨr
Backstrom-1992-210d-121	Wakhi-116	evening	pʉrz	pʉrz	pʉrz	pʉrz	pʉrz
Backstrom-1992-210d-122	Wakhi-117	yesterday	yezi	yezi	yezi	yez	yez
Backstrom-1992-210d-123	Wakhi-118	today	wʊðkʰ	wʊðkʰ	wʊðkʰ	wʊtkʰ	wʊdkʰ
Backstrom-1992-210d-124	Wakhi-119	tomorrow	piˈɣɑ	piɣɑ	piɣɑ	sʌˈhɑri	sʌˈhɑr / vʌrok
Backstrom-1992-210d-125	Wakhi-120	week	hʌftʌ	hʌftʌ	hʌftʌ	hʌftʌ	hʌftʌ
Backstrom-1992-210d-126	Wakhi-121	month	mʉi	mʉi	mʉi	mʉi	mʉi
Backstrom-1992-210d-127	Wakhi-122	year	sɔl	sɔl	sɔl	sol	sɔl
Backstrom-1992-210d-128	Wakhi-123	old (thing)	qɛdimʉŋg	qɛdimɑ	kʰɔnɑ	kʰonɑ	kʰonɑ
Backstrom-1992-210d-129	Wakhi-124	new	ṣ̌eɣd	ṣ̌eɣd	ṣ̌eɣd	ṣ̌eɣd	ṣ̌ʌɣd
Backstrom-1992-210d-130	Wakhi-125	good	bʌf	bʌf	bʌf	bʌf	bʌf
Backstrom-1992-210d-131	Wakhi-126	bad	šʌk	šʌk	šʌk	šʌk	šʌk
Backstrom-1992-210d-132	Wakhi-127	wet	hɑšč	hɑšč	xʌšč	hʌšč	xʌšč
Backstrom-1992-210d-133	Wakhi-128	dry	wɛsk	wɛsk	wɛsk	wɪsk	wɪsk
Backstrom-1992-210d-134	Wakhi-129	long	droz	dʌroz	dʌrɔz	vɛrz	vʌrz
Backstrom-1992-210d-135	Wakhi-130	short	kuṭʰ	kuṭʰ	kuṭʰ	kɨṭʰ	kɨṭʰ
Backstrom-1992-210d-136	Wakhi-131	hot	θin / gʌrʌm	θin / šundʌr	θin / gʌrmiɣ	sin / gʌrʌm	θin / gʌrʌm
Backstrom-1992-210d-137	Wakhi-132	cold	sʉr	sʉr	sʉr	sɨr	sɨr
Backstrom-1992-210d-138	Wakhi-133	right	rɔst	rost	rost	rʊst	rost
Backstrom-1992-210d-139	Wakhi-134	left	čɑp	čʌp	čʌp	čʌp	čʌp
Backstrom-1992-210d-140	Wakhi-135	near	qʰʌˈrib	qʌˈrib	qʌˈrib	qʌˈrib	qʌˈrib
Backstrom-1992-210d-141	Wakhi-136	far	ðer	ðer	ðer	der / d͡zer	ðir
Backstrom-1992-210d-142	Wakhi-137	big	lup	lup	lup	lup	lup
Backstrom-1992-210d-143	Wakhi-138	small	zʌqlɑi	lʌqlɑi	zʌqlɑi	t͡sɨklɑi	zʌqlɑi
Backstrom-1992-210d-144	Wakhi-139	heavy	oˈroŋg	oˈroŋg	ɣoˈroŋg	ɣoˈrʊŋg	ɣʊˈruŋg
Backstrom-1992-210d-145	Wakhi-140	light	rɑnǰʰkʰ	rʌnǰʰkʰ	rɑnǰkʰ	sɨbɨkʰ	sɨbɨk
Backstrom-1992-210d-146	Wakhi-141	above	skʌˈsɑr	skʌˈsɑr	skʌˈsɑr	skɪˈsɑr	wʊč / t͡susk
Backstrom-1992-210d-147	Wakhi-142	below	rɑdɛst / dʌˈben	dʌdɛst	rɑdɛst	dʌˈben	bɨn
Backstrom-1992-210d-148	Wakhi-143	white	ˈroxu̥n̥	ˈroxʌn	ˈroxn̥	ˈroxʊn	rʊˈxʌn
Backstrom-1992-210d-149	Wakhi-144	black	ṣ̌ɪu	ṣ̌iu	ṣ̌ɪu	ṣ̌ɪu	ṣ̌iu
Backstrom-1992-210d-150	Wakhi-145	red	sɪkr̥	sɪkr̥	sɪkr̥	ˈsɪkʌr	sɨkʰr
Backstrom-1992-210d-151	Wakhi-146	one	yiu	yiu	yiu	yiu	yiu
Backstrom-1992-210d-152	Wakhi-147	two	bui	bui	bui	bui	bui
Backstrom-1992-210d-153	Wakhi-148	three	tʰroi	tʰroi	tʰroi	tʰrui	tʰrui
Backstrom-1992-210d-154	Wakhi-149	four	t͡sɨˈbʉr	sɨˈbʉr	sɨˈbʉr	sɨˈbʉr	sɨˈbʉr
Backstrom-1992-210d-155	Wakhi-150	five	pɑnz	pɑnz	pɑnz	fɑnz	pɑnz
Backstrom-1992-210d-156	Wakhi-151	six	šɑð	šɑð	šɑð	šɑt	šɑd
Backstrom-1992-210d-157	Wakhi-152	seven	hʉb	hʉb	hʉb	hʉb	hɨb
Backstrom-1992-210d-158	Wakhi-153	eight	hɑtʰ	hɑtʰ	hɑtʰ	hʌtʰ	hʌtʰ
Backstrom-1992-210d-159	Wakhi-154	nine	nʌo	nɑo	nʌo	nɑo	nɑo
Backstrom-1992-210d-160	Wakhi-155	ten	ðʌs	ðʌs	ðʌs	zʌs	ðʌs
Backstrom-1992-210d-161	Wakhi-156	eleven	ðʌsyiu	ðʌsyiu	ðʌsyiu	zʌsˈʔiu	ðʌsyiu
Backstrom-1992-210d-162	Wakhi-157	twelve	ðʌsbui	ðʌsboi	ðʌsboi	zʌsbui	ðʌsbui
Backstrom-1992-210d-163	Wakhi-158	twenty	wist	wišt	wist	bist	bist
Backstrom-1992-210d-164	Wakhi-159	one hundred	yi sʌd	yi sʌd	yi sʌd	yi sɑt	yi sʌd
Backstrom-1992-210d-165	Wakhi-160	who		koi	kui	kui	kui
Backstrom-1992-210d-166	Wakhi-161	what	čiz	čiz	čiz	čiz	čiz
Backstrom-1992-210d-167	Wakhi-162	where	ˈkumʌr	ˈkumʌr	ˈkumɛr	ˈkumɛr	ˈkumɛr
Backstrom-1992-210d-168	Wakhi-163	when	t͡soɣdi / t͡se wʌxt	t͡soɣdʌr	t͡soɣdi	t͡soɣt	t͡se wʌxt
Backstrom-1992-210d-169	Wakhi-164	how  many	ˈt͡sumʌr	ˈt͡sumʌr	ˈt͡sumʌr	ˈt͡sumɛr	ˈt͡sum
Backstrom-1992-210d-170	Wakhi-165	which	kumdi		kumdi	kiu	kum
Backstrom-1992-210d-171	Wakhi-166	this	yɛm	yɪm	yɛm	yɪm	yɛm
Backstrom-1992-210d-172	Wakhi-167	that	yɑ / yʌo	yʌo	yɑ	yʌo	yɑo
Backstrom-1992-210d-173	Wakhi-168	these	yɛm	yɪm	yɛm	yɪm	yɛm
Backstrom-1992-210d-174	Wakhi-169	those	yɑ / yʌo	yʌo	yɑ	yʌo	yɑo
Backstrom-1992-210d-176	Wakhi-170	different				dɪˈɣɑr	diˈgʌr
Backstrom-1992-210d-177	Wakhi-171	whole (not broken)	tɔzɑ	tozɑ	pʉtʉn / tɔzɑ	tɔzɑ	tɔzɑ
Backstrom-1992-210d-178	Wakhi-172	broken	ṣ̌kɛŋg	ṣ̌keŋg	ṣ̌keŋg	ṣ̌keŋg	ṣ̌kʌŋgʌ
Backstrom-1992-210d-179	Wakhi-173	few	kʌm	kʌm	kʌm	kʌmɪk	kʌm
Backstrom-1992-210d-180	Wakhi-174	many	č̣ʌk	č̣ʌk	č̣ʌk	t͡sʌk / ziɔdɑ	tʌki
Backstrom-1992-210d-181	Wakhi-175	all	kux̯t	kux̯t	kux̯t	kux̯t	kʉ
Backstrom-1992-210d-182	Wakhi-176	(you) eat!	yɑo	yɑo	yɑo	yʌo	yʌo
Backstrom-1992-210d-183	Wakhi-177	(the dog) bites	kɑpˈdixt		kɑpiˈdi		kɑpˈdixt
Backstrom-1992-210d-184	Wakhi-178	(you are) hungry	mɛrz	mɛrz	mɛrz	mɛrz	mɛrz
Backstrom-1992-210d-185	Wakhi-179	(you) drink!	pɛv	pɛv	pɛv	pʰɛv	pɛv
Backstrom-1992-210d-186	Wakhi-180	(you are) thirsty	wɛsk	wɪsk	wɛsk	wɪsk	tʌxte
Backstrom-1992-210d-187	Wakhi-181	(you) sleep!	rʊxʉp	rɨxp	rʉxʉp	rɪx̯p	ˈrɪx̯ʊp
Backstrom-1992-210d-188	Wakhi-182	(you) lay down!	nɛˈsɛ̃	nɛsɛ	nɛsɛ	nɛsɛ	rost
Backstrom-1992-210d-189	Wakhi-183	(you) sit down!	nɛzt	nezt	nezt	nɛzt	nɛzt
Backstrom-1992-210d-190	Wakhi-184	(you) give!	rɑnd	rʌnd	rɑnd	rɑnd	rʌnd
Backstrom-1992-210d-192	Wakhi-185	(he) died	mɛr̥tɛ	mɛx̯tɛ	mɛr̥tɛ	mɛr̥ti	mɛrti
Backstrom-1992-210d-193	Wakhi-186	(you) beat!	di	di	di	di	di
Backstrom-1992-210d-194	Wakhi-187	(the bird) flies	gizd	gɛzdʌ	gizt	gɛzdi	gizt
Backstrom-1992-210d-195	Wakhi-188	(you) walk!	č̣ɑo	č̣ɑo	č̣ɑo	č̣ɑo	
Backstrom-1992-210d-196	Wakhi-189	(you) run!	gɪfs	gɪfs	gɪfs	gɨfs	gʌfs
Backstrom-1992-210d-197	Wakhi-190	(you) go!	rɛč̣	rɛč̣	rɛč̣	rɛč̣	rɛč̣
Backstrom-1992-210d-198	Wakhi-191	(you) come!	wɛzɛ	wezɛ	wɛzɛ	wɛzi	wɛzi
Backstrom-1992-210d-199	Wakhi-192	(you) speak!	xʌn	xʌn	xʌn	xɑn	xʌn
Backstrom-1992-210d-200	Wakhi-193	(you) listen!/hear!	ku̥ˈšui	kʊˈšui	kʊˈšui		pʉrqši
Backstrom-1992-210d-201	Wakhi-194	(you) look!/see!	tʌinsʌr	tʌinsʌr	tɑinsʌr	dɪdik	dɪdik
Backstrom-1992-210d-202	Wakhi-195	I	woz	woz	woz	woz	wʊz
Backstrom-1992-210d-203	Wakhi-196	you	tu	tu	tu	tu	tu
Backstrom-1992-210d-205	Wakhi-197	he	yoˑ	yʌo	yʌo	yʌo	yʌ
Backstrom-1992-210d-206	Wakhi-198	she	yoˑ	yʌo	yʌo	yʌo	yʌ
Backstrom-1992-210d-207	Wakhi-199	we	sʌk	sʌk	sʌk	sʌk	sʌk
Backstrom-1992-210d-209	Wakhi-200	you (plural)	sʌšt	sʌšt	sʌšt	sʌšt	sɑiš
Backstrom-1992-210d-210	Wakhi-201	they	yʌšt	yʌšt	yɑšt	yɑis	hɑiš
