GLOSS ID	LIST ID	ENGLISH	DOMAAKI
Backstrom-1992-210e-1	Domaaki-1	body	mɪḍim
Backstrom-1992-210e-2	Domaaki-2	head	suṭo
Backstrom-1992-210e-3	Domaaki-3	hair	ǰɑṭ
Backstrom-1992-210e-4	Domaaki-4	face	mũ
Backstrom-1992-210e-5	Domaaki-5	eye	ɑˈčiŋ
Backstrom-1992-210e-6	Domaaki-6	ear	koṇ
Backstrom-1992-210e-7	Domaaki-7	nose	nok
Backstrom-1992-210e-8	Domaaki-8	mouth	ˈkɑšɑ
Backstrom-1992-210e-9	Domaaki-9	tooth	ˈdɑnɑ
Backstrom-1992-210e-10	Domaaki-10	tongue	ǰibɑ
Backstrom-1992-210e-11	Domaaki-11	breast	ɪnˈdilɑ
Backstrom-1992-210e-12	Domaaki-12	belly	peṭ
Backstrom-1992-210e-13	Domaaki-13	arm	šoˑk
Backstrom-1992-210e-14	Domaaki-14	elbow	bɑkʰʊni
Backstrom-1992-210e-15	Domaaki-15	palm	hʌtʌˈtɑɣɑ
Backstrom-1992-210e-16	Domaaki-16	finger	ɑgulɑ
Backstrom-1992-210e-17	Domaaki-17	fingernail	nɑˈurɑ
Backstrom-1992-210e-18	Domaaki-18	leg	pɑ̃šõ
Backstrom-1992-210e-19	Domaaki-19	skin	čom
Backstrom-1992-210e-20	Domaaki-20	bone	hoˑṭʰ
Backstrom-1992-210e-21	Domaaki-21	heart	
Backstrom-1992-210e-22	Domaaki-22	blood	rot
Backstrom-1992-210e-23	Domaaki-23	urine	muč̣
Backstrom-1992-210e-24	Domaaki-24	feces	guˑ
Backstrom-1992-210e-25	Domaaki-25	village	girom
Backstrom-1992-210e-26	Domaaki-26	house	gor
Backstrom-1992-210e-27	Domaaki-27	roof	tʰʌl
Backstrom-1992-210e-28	Domaaki-28	door	dor
Backstrom-1992-210e-29	Domaaki-29	firewood	kɑˈšɪlɑ
Backstrom-1992-210e-30	Domaaki-30	broom	ˈpʰopuš
Backstrom-1992-210e-31	Domaaki-31	mortar	tʌˈnus
Backstrom-1992-210e-32	Domaaki-32	pestle	yʌtkus
Backstrom-1992-210e-33	Domaaki-33	hammer	pʰʌṭil
Backstrom-1992-210e-34	Domaaki-34	knife	čʰuri
Backstrom-1992-210e-35	Domaaki-35	axe	čɑˈtol
Backstrom-1992-210e-36	Domaaki-36	rope	ˈgʌškɑ
Backstrom-1992-210e-37	Domaaki-37	thread	dom
Backstrom-1992-210e-38	Domaaki-38	needle	suỵɑ
Backstrom-1992-210e-39	Domaaki-39	cloth	kɑṭuɑ
Backstrom-1992-210e-40	Domaaki-40	ring	buˈrondo
Backstrom-1992-210e-41	Domaaki-41	sun	toó
Backstrom-1992-210e-42	Domaaki-42	moon	čonč̣
Backstrom-1992-210e-43	Domaaki-43	sky	ɑsˈmɑn
Backstrom-1992-210e-44	Domaaki-44	star	ˈtɑro
Backstrom-1992-210e-45	Domaaki-45	rain	ˈorʌp
Backstrom-1992-210e-46	Domaaki-46	water	pɑni
Backstrom-1992-210e-47	Domaaki-47	river	sinɑ
Backstrom-1992-210e-48	Domaaki-48	cloud	qʰɑˈronč̣
Backstrom-1992-210e-49	Domaaki-49	lightning	bɪǰɪli čʌmʌk hogiči
Backstrom-1992-210e-50	Domaaki-50	rainbow	niroˈnɑŋ
Backstrom-1992-210e-51	Domaaki-51	wind	bɑˈuɑ
Backstrom-1992-210e-52	Domaaki-52	stone	boṭ
Backstrom-1992-210e-53	Domaaki-53	path	pɑnɑ
Backstrom-1992-210e-54	Domaaki-54	sand	bɑli
Backstrom-1992-210e-55	Domaaki-55	fire	ɑk
Backstrom-1992-210e-56	Domaaki-56	smoke	dum
Backstrom-1992-210e-57	Domaaki-57	ash	čɪlino čʰor
Backstrom-1992-210e-58	Domaaki-58	mud	t͡sʰɪlˈɣɪṣ̌ / tɑˈɣo
Backstrom-1992-210e-59	Domaaki-59	dust	čʰor
Backstrom-1992-210e-60	Domaaki-60	gold	son
Backstrom-1992-210e-61	Domaaki-61	tree	tom
Backstrom-1992-210e-62	Domaaki-62	leaf	pɑṭɑ
Backstrom-1992-210e-63	Domaaki-63	root	moli
Backstrom-1992-210e-64	Domaaki-64	thorn	čʰõṣ̌
Backstrom-1992-210e-65	Domaaki-65	flower	pʰul
Backstrom-1992-210e-66	Domaaki-66	fruit	miˈwɑ
Backstrom-1992-210e-67	Domaaki-67	mango	ɑm
Backstrom-1992-210e-68	Domaaki-68	banana	kelɑ
Backstrom-1992-210e-69	Domaaki-69	wheat	goˈmu
Backstrom-1992-210e-70	Domaaki-70	millet	ɑˈrin
Backstrom-1992-210e-71	Domaaki-71	rice	brʌs
Backstrom-1992-210e-72	Domaaki-72	potato	ˈɑlu
Backstrom-1992-210e-73	Domaaki-73	eggplant	bæŋgʌn
Backstrom-1992-210e-74	Domaaki-74	groundnut	muŋ ˈpʰʌli
Backstrom-1992-210e-75	Domaaki-75	chili	mɑˈruč
Backstrom-1992-210e-76	Domaaki-76	turmeric	hɑˈleči
Backstrom-1992-210e-77	Domaaki-77	garlic	bokˈpɑ
Backstrom-1992-210e-78	Domaaki-78	onion	xɑˈšu
Backstrom-1992-210e-79	Domaaki-79	cauliflower	goˑbi
Backstrom-1992-210e-80	Domaaki-80	tomato	bɑlˈogʌn
Backstrom-1992-210e-81	Domaaki-81	cabbage	bʌnd ˈgobi
Backstrom-1992-210e-82	Domaaki-82	oil	tel
Backstrom-1992-210e-83	Domaaki-83	salt	pɑˈyu
Backstrom-1992-210e-84	Domaaki-84	meat	moˑs
Backstrom-1992-210e-85	Domaaki-85	fat	mɑo
Backstrom-1992-210e-86	Domaaki-86	fish	ˈčʰume
Backstrom-1992-210e-87	Domaaki-87	chicken (f.)	hɑrˈkɑmuš
Backstrom-1992-210e-88	Domaaki-88	egg	tiˈgon
Backstrom-1992-210e-89	Domaaki-89	cow	ˈgɑe
Backstrom-1992-210e-90	Domaaki-90	buffalo	hiṣ̌mɑhíiṣ̌
Backstrom-1992-210e-91	Domaaki-91	milk	čʰiˑr
Backstrom-1992-210e-92	Domaaki-92	horn	ṣ̌iŋ
Backstrom-1992-210e-93	Domaaki-93	tail	čiˈpo
Backstrom-1992-210e-94	Domaaki-94	goat	bʌkiˈrɑ
Backstrom-1992-210e-95	Domaaki-95	dog	šʸuno
Backstrom-1992-210e-96	Domaaki-96	snake	kiriˈmɑ
Backstrom-1992-210e-97	Domaaki-97	monkey	šʌdi
Backstrom-1992-210e-98	Domaaki-98	mosquito	ɪšˈkɑr
Backstrom-1992-210e-99	Domaaki-99	ant	pʰɪlili
Backstrom-1992-210e-100	Domaaki-100	spider	pʰiˈron
Backstrom-1992-210e-101	Domaaki-101	name	nom
Backstrom-1992-210e-102	Domaaki-102	man	bʌndʌ
Backstrom-1992-210e-103	Domaaki-103	woman	ˈǰoe
Backstrom-1992-210e-104	Domaaki-104	child	ǰoṭo
Backstrom-1992-210e-105	Domaaki-105	father	bɑbɑ
Backstrom-1992-210e-106	Domaaki-106	mother	mɑmɑ
Backstrom-1992-210e-107	Domaaki-107	older brother	bʌṛɑ ˈkɑko
Backstrom-1992-210e-108	Domaaki-108	younger brother	čunɑ bɪrɑyɑ
Backstrom-1992-210e-109	Domaaki-109	older sister	bʌṛi bɛhn/kɑki
Backstrom-1992-210e-110	Domaaki-110	younger sister	čuni bɛhn
Backstrom-1992-210e-111	Domaaki-111	son	puč̣
Backstrom-1992-210e-112	Domaaki-112	daughter	diɑ
Backstrom-1992-210e-113	Domaaki-113	husband	biˈto
Backstrom-1992-210e-114	Domaaki-114	wife	ǰʌˈmɑˑt
Backstrom-1992-210e-115	Domaaki-115	boy	ˈǰoṭo
Backstrom-1992-210e-116	Domaaki-116	girl	ˈǰoṭi
Backstrom-1992-210e-117	Domaaki-117	day	gut͡s
Backstrom-1992-210e-118	Domaaki-118	night	tʰop
Backstrom-1992-210e-119	Domaaki-119	morning	ˈčʌwʌwoti
Backstrom-1992-210e-120	Domaaki-120	noon	meˈedi
Backstrom-1992-210e-121	Domaaki-121	evening	šɑm
Backstrom-1992-210e-122	Domaaki-122	yesterday	gut͡s geɑ
Backstrom-1992-210e-123	Domaaki-123	today	oóče
Backstrom-1992-210e-124	Domaaki-124	tomorrow	ǰumutišo ɑɣɑ
Backstrom-1992-210e-125	Domaaki-125	week	oóṣ̌do
Backstrom-1992-210e-126	Domaaki-126	month	mo
Backstrom-1992-210e-127	Domaaki-127	year	yolɑ
Backstrom-1992-210e-128	Domaaki-128	old (thing)	puˈrɑnɑ
Backstrom-1992-210e-129	Domaaki-129	new	nʌˈmɑ
Backstrom-1992-210e-130	Domaaki-130	good	šuɑ
Backstrom-1992-210e-131	Domaaki-131	bad	ʌčɑɣɑ
Backstrom-1992-210e-132	Domaaki-132	wet	ɑˈǰɑ
Backstrom-1992-210e-133	Domaaki-133	dry	šuˈkʰɑ
Backstrom-1992-210e-134	Domaaki-134	long	ǰ̣igɑ
Backstrom-1992-210e-135	Domaaki-135	short	čunɑ
Backstrom-1992-210e-136	Domaaki-136	hot	tʌˈtɑ
Backstrom-1992-210e-137	Domaaki-137	cold	šɪldɑ
Backstrom-1992-210e-138	Domaaki-138	right	dɑčinɑ
Backstrom-1992-210e-139	Domaaki-139	left	kʰɑˈbɑ
Backstrom-1992-210e-140	Domaaki-140	near	ɑsiír
Backstrom-1992-210e-141	Domaaki-141	far	dur
Backstrom-1992-210e-142	Domaaki-142	big	ˈbʌṛɑ
Backstrom-1992-210e-143	Domaaki-143	small	čunɑ
Backstrom-1992-210e-144	Domaaki-144	heavy	oguˈrɑ
Backstrom-1992-210e-145	Domaaki-145	light	lɑoˈkɑ
Backstrom-1992-210e-146	Domaaki-146	above	ɑt͡si
Backstrom-1992-210e-147	Domaaki-147	below	miˈneni
Backstrom-1992-210e-148	Domaaki-148	white	šɪkuˈlɑ
Backstrom-1992-210e-149	Domaaki-149	black	ˈkɑlɑ
Backstrom-1992-210e-150	Domaaki-150	red	loyɑ
Backstrom-1992-210e-151	Domaaki-151	one	ɛk
Backstrom-1992-210e-152	Domaaki-152	two	dui
Backstrom-1992-210e-153	Domaaki-153	three	č̣ɑi
Backstrom-1992-210e-154	Domaaki-154	four	čɑˈur
Backstrom-1992-210e-155	Domaaki-155	five	põĩ
Backstrom-1992-210e-156	Domaaki-156	six	šɑ
Backstrom-1992-210e-157	Domaaki-157	seven	sot
Backstrom-1992-210e-158	Domaaki-158	eight	oṣ̌ṭ
Backstrom-1992-210e-159	Domaaki-159	nine	nʌo
Backstrom-1992-210e-160	Domaaki-160	ten	dʌi
Backstrom-1992-210e-161	Domaaki-161	eleven	ɛkɑi
Backstrom-1992-210e-162	Domaaki-162	twelve	bɑi
Backstrom-1992-210e-163	Domaaki-163	twenty	biš
Backstrom-1992-210e-164	Domaaki-164	one hundred	põĩ biš
Backstrom-1992-210e-165	Domaaki-165	who	koṇo
Backstrom-1992-210e-166	Domaaki-166	what	kɪmune
Backstrom-1992-210e-167	Domaaki-167	where	kɑɑ́ǰɛk
Backstrom-1992-210e-168	Domaaki-168	when	kɑˈbe
Backstrom-1992-210e-169	Domaaki-169	how  many	kɑˈteʌk
Backstrom-1992-210e-170	Domaaki-170	which	ˈkɪmune
Backstrom-1992-210e-171	Domaaki-171	this	ɑšei
Backstrom-1992-210e-172	Domaaki-172	that	hei
Backstrom-1992-210e-173	Domaaki-173	these	
Backstrom-1992-210e-174	Domaaki-174	those	ɑšiŋ
Backstrom-1992-210e-175	Domaaki-175	same	bɑˈbur
Backstrom-1992-210e-176	Domaaki-176	different	ɑˈkɛš
Backstrom-1992-210e-177	Domaaki-177	whole	tɑzɑ
Backstrom-1992-210e-178	Domaaki-178	broken	bʌˈɣʌčɑ
Backstrom-1992-210e-179	Domaaki-179	few	kʌmɛk
Backstrom-1992-210e-180	Domaaki-180	many	buṭɛk
Backstrom-1992-210e-181	Domaaki-181	all	buṭe
Backstrom-1992-210e-182	Domaaki-182	you eat!	tu kʰɑ
Backstrom-1992-210e-183	Domaaki-183	the dog bites	šunɑin ǰʌṇɛrẓ̌ɪn
Backstrom-1992-210e-184	Domaaki-184	(you are) hungry	buˈčɑ
Backstrom-1992-210e-185	Domaaki-185	drink!	pi
Backstrom-1992-210e-186	Domaaki-186	(you are) thirsty	bokiobi
Backstrom-1992-210e-187	Domaaki-187	sleep!	so
Backstrom-1992-210e-188	Domaaki-188	lay down!	ǰ̣eˑko
Backstrom-1992-210e-189	Domaaki-189	sit down!	mum bɛṣ̌
Backstrom-1992-210e-190	Domaaki-190	give!	mʌšuˈde
Backstrom-1992-210e-191	Domaaki-191	burn the wood!	kɑši lɑtɑp
Backstrom-1992-210e-192	Domaaki-192	(he) died	muyɑ
Backstrom-1992-210e-193	Domaaki-193	kill!	mɑr
Backstrom-1992-210e-194	Domaaki-194	(the bird) flies	duwɑˈli
Backstrom-1992-210e-195	Domaaki-195	walk!	hun
Backstrom-1992-210e-196	Domaaki-196	run!	dei
Backstrom-1992-210e-197	Domaaki-197	go!	ǰɑ
Backstrom-1992-210e-198	Domaaki-198	come!	ɑo
Backstrom-1992-210e-199	Domaaki-199	speak!	mun
Backstrom-1992-210e-200	Domaaki-200	listen!/hear!	pɑˈruč
Backstrom-1992-210e-201	Domaaki-201	look!/see!	dekʰ
Backstrom-1992-210e-202	Domaaki-202	I	oó
Backstrom-1992-210e-203	Domaaki-203	you (inf.)	tu
Backstrom-1992-210e-205	Domaaki-204	he	hei
Backstrom-1992-210e-206	Domaaki-205	she	hɑi
Backstrom-1992-210e-207	Domaaki-206	we (incl.)	ʌˈme
Backstrom-1992-210e-208	Domaaki-207	we (excl.)	miˈbɑn
Backstrom-1992-210e-209	Domaaki-208	you (pl.)	tuˈme
Backstrom-1992-210e-210	Domaaki-209	they	æŋ
